Name,Link,Categories,Pricing,Platforms,Tags,Description
Adobe Photoshop,https://www.adobe.com/products/photoshop.html,Image Manipulation,"Trial, Subscription","Windows, Mac, iOS",Raster,"From photo editing and compositing to digital painting, animation, and graphic design — you can do it all in Photoshop."
Gimp,https://www.gimp.org/,Image Manipulation,Free,"Windows, Mac, Linux",Raster,GIMP - The GNU Image Manipulation Program: The Free and Open Source Image Editor.
Affinity Photo,https://affinity.serif.com/en-us/photo/,Image Manipulation,Paid,"Windows, Mac, iOS",Raster,"The only fully loaded photo editor integrated across Mac, Windows and iOS, Affinity Photo is the first choice of thousands of professionals around the world."
Photopea,https://www.photopea.com/,Image Manipulation,"Free, Subscription",Web,Raster,"Photopea Online Photo Editor lets you edit photos, apply effects, filters, add text, crop or resize pictures. Do Online Photo Editing in your browser for free!"
Pixelmator Pro,https://www.pixelmator.com/pro/,"Image Manipulation, Digital Painting, Graphic Art, UX/UI Design",Paid,Mac,"Raster, Vector","Pixelmator Pro is a beautiful, easy-to-use, and very powerful image editor for the Mac. With it’s cutting edge technologies, Pixelmator Pro is the most modern way to create, edit, and enhance your images."
Bloom,http://thebloomapp.com/features/,"Image Manipulation, Graphic Art","Trial, Paid","Windows, Mac","Raster, Vector","Bloom is a fast, light-weight, cross-platform procedural graphics editor that lets you tweak any action you have ever perfromed - organized by layer."
Microsoft Paint,https://support.microsoft.com/en-us/help/4027344/windows-10-get-microsoft-paint,Image Editing,Free,Windows,Raster,Microsoft Paint is still in Windows. Search for it by typing paint in the taskbar.
paint dot net,https://www.getpaint.net/,Image Editing,Free,Windows,Raster,Paint.NET is free image and photo editing software for computers that run Windows.
LodePaint,https://sourceforge.net/projects/lodepaint/,"Image Editing, Pixel Art",Free,"Windows, Linux",Raster,"Download LodePaint for free. Painting program aimed especially at creating and editing textures and sprites, but also for general purpose image editing. Rendered with OpenGL."
Autodesk Sketchbook,https://www.autodesk.com/products/sketchbook/overview,Digital Painting,"Trial, Subscription","Windows, Mac, Android, iOS",Raster,"Use SketchBook software for digital painting, drawing, sketching, and illustrated art. SketchBook can also be used to render ideas and create illustrations."
