Name,Link,Categories,Pricing,Platforms,Tags,Description
Meetup Groups,https://www.meetup.com/,Local Networking,,,,Find Meetup events so you can do more of what matters to you. Or create your own group and meet people near you who share your interests.
Gamedev.net,https://www.gamedev.net/,Community,,,,"GameDev.net is your resource for game development with forums, tutorials, blogs, projects, portfolios, news, and more."
Itchio,https://itch.io/,"Game Hosting, Community, Team Building",,,,"itch.io is a simple way to find, download and distribute indie games online. Whether you're a developer looking to upload your game or just someone looking for something new to play itch.io has you covered."
GameJolt,https://gamejolt.com/,"Game Hosting, Community, Team Building",,,,"Discover, play, buy, and follow 100,000+ games!"
IndieDB,https://www.indiedb.com/,"Game Hosting, Community, Team Building",,,,"Indie DB the independent games site. News, downloads and media direct from the developers. Powered by ramen noodles."
Newgrounds,https://www.newgrounds.com/games,"Game Hosting, Art",,,,"Newgrounds is an online entertainment website and company. It hosts user-generated content such as gaming, filming, audio and artwork composition in four respective website categories. Newgrounds provides visitor-driven voting and ranking of user-generated submissions."
Devel Team,https://www.develteam.com/,"Community, Team Building",,,,"A Community for Creating Games. Share your game developer portfolio, collaboration forums, chat rooms, game dev team up, indie team up. Start Making Games!"
NeoGAF,https://www.neogaf.com/,Forum,,,,It's a video game message board on the internet
TIGSource,https://www.tigsource.com/,Forum,,,,TIGSource is a community of independent game players and creators.
Make Games SA,http://makegamessa.com/,Forum,,,,South African Association of Game Makers
VG Resources,https://www.vg-resource.com/,Forum,,,,"A community of users that rip, collect, and archive assets from popular video games for use in personal and non-commercial projects."
Game Development Stack Exchange,https://gamedev.stackexchange.com/,FAQ,,,,Q&A for professional and independent game developers
Gamesmith,https://www.gamesmith.com/,Professional Network,,,,Gamesmith is a discovery platform focused on showcasing the top tier of the industry talent working across the games spectrum.
GDBay Network,https://gdbay.com/network/,Professional Network,Subscription,,B2B,"Explore game companies, hire game developers, find jobs in gaming & game developer conferences. GDBAY is a complete game dev industry portal."
Deviant Art,https://www.deviantart.com/,Art,,,,"DeviantArt is the world's largest online social community for artists and art enthusiasts, allowing people to connect through the creation and sharing of art."
Art Station,https://www.artstation.com/,Art,,,,"ArtStation is the leading showcase platform for games, film, media & entertainment artists."
Pinterest,https://www.pinterest.com/,Art,,,,"Discover recipes, home ideas, style inspiration and other ideas to try. Share art work and also build reference boards for art you want to make"
The Rookies,https://www.therookies.co/,Art,,,,"Find out everything you need to know about The Rookies from rules, important dates, sponsors, prizes, internships, judging panel, and the team."
Polycount,https://polycount.com/,Art,,,,"Polycount is a videogame artist community where hobbyists and professionals alike hone their craft. Notoriously honest in critique, our community of artists have been posting, collaborating, and helping each other since 1997. If you’re looking to improve your skillset, learn new tricks or techniques, or just share an opinion on videogame art, come visit us."
CG Society,https://cgsociety.org/,Art,,,,"The CGSociety supports artists at every level by offering a range of services to connect, inform, educate and promote digital artists worldwide."
3dtotal,https://3dtotal.com/,Art,,,,"Discover the latest in the world of digital art – learn from fellow artists, create your own masterpieces, and share them with the art community."
p3d,https://p3d.in/,Art,,,,"We believe that sharing your 3D models online should be an enjoyable experience. p3d.in is simple, real-time and just works."
Google Poly,https://poly.google.com/,Art,,,,"Browse, discover, and download 3D objects and scenes. Poly lets you quickly find 3D objects and scenes for use in your apps, and it was built from the ground up with AR and VR development in mind."
Shadertoy,https://www.shadertoy.com/,Art,,,Shader,Platform to build and share shader art
Fandom Wikia,https://www.fandom.com/,Wiki,Free,Web,,"FANDOM is a global entertainment media brand powered by fan passion. The fan-trusted source in entertainment, we provide a home to explore, contribute to, and celebrate the world of pop culture. Whether looking for in-depth information on favorite fandoms or what’s buzzing in entertainment, FANDOM has your pop culture curiosities covered through fan-expert knowledge and carefully curated and fun, original multi-platform content."
Gamepedia,https://www.gamepedia.com/,Wiki,Free,Web,,"Gamepedia is the largest video game wiki platform on the web, featuring thousands of community-driven wiki projects. Gamepedia is home to everything from indie title wikis to some of the best-known gaming wikis such as the Official Minecraft Wiki, Leaguepedia, and the Official ARK Wiki. Gamepedia is also a source of gaming news and information, high-quality video content, and exciting contests and giveaways."
Fextralife Wikis,https://www.wiki.fextralife.com/,Wiki,Free,Web,,"Fextralife is a video game news resource and gaming hub fueled by a team of dedicated gamers with a focus on the RPG genre as well as innovative games. We are here to share detailed game mechanics and information via our Video Game Wiki Hub, and news, previews, reviews, articles and guides from our contributors on the blog as well as lively discussion and debate on our forums."
