Name,Link,Categories,Pricing,Platforms,Tags,Description
Scrapple,https://www.literatureandlatte.com/scapple/overview,Diagramming,"Trial, Paid","Windows, Mac",Mind Mapping,"Making connections between ideas is as simple as dragging and dropping one note onto another. And unlike real paper, in Scapple you can move notes around and never run out of space."
Xmind,https://www.xmind.net/,Diagramming,"Free, Paid","Windows, Mac, Linux, iOS, Android",Mind Mapping,"XMind is the most professional and popular mind mapping tool. Millions of people use XMind to clarify thinking, manage complex information, brainstorming, get work organized,remote and work from home WFH."
Bubbl.us,https://bubbl.us/,Diagramming,Free,Web,Mind Mapping,"Mind map and brainstorm online with Bubbl.us! Create colorful mind maps to print or share with others. Millions of people are using Bubbl.us worldwide to generate ideas, map outprocesses and create presentations."
Mind42,https://mind42.com/,Diagramming,Free,Web,Mind Mapping,Get an overview about the different kind of mind map created on Mind42. Mind42 is a free online mind mapping software that allows you to collaborate on and publish yourmind maps with others.
Coggle,https://coggle.it/,Diagramming,"Free, Subscription",Web,Mind Mapping,The clear way to share complex information. Coggle is a collaborative mind-mapping tool that helps you make sense of complex things. Create unlimited mind maps andeasily share them with friends and colleagues.
MindMup,https://www.mindmup.com/,Diagramming,"Free, Subscription",Web,Mind Mapping,Free online mind mapping. The most productive online mind map canvas on the Web. Supports Freemind mindmap import/export. Easy mindmapping software.
MindNode,https://mindnode.com/,Diagramming,"Free, Paid","Mac, iOS",Mind Mapping,"MindNode lets you capture, organize, style and share your thoughts."
MindMaple,https://www.mindmaple.com/,Diagramming,"Free, Paid","Windows, Mac, iOS",Mind Mapping,"MindMaple is a fast and intuitive way of organizing information
for project management, brainstorming and more. "
Sligrid,https://sligrid.com/,Diagramming,"Free, Subscription",Web,Mind Mapping,"No more hosting team or personal wikis. Sligrid takes the pain out of knowledge management. You and your team can easily index, reuse, and share thoughts, in one place."
MindMeister,https://www.mindmeister.com/,Diagramming,"Free, Subscription",Web,Mind Mapping,"100% customizable mind map designs! Change alignments, add images, videos, etc. Invite your team, comment and vote - Try the free plan or go Pro!"
Microsoft Visio,https://www.microsoft.com/en-us/p/visio-professional-2019/cfq7ttc0k7cg?activetab=pivot%3aoverviewtab,Diagramming,"Paid, Subscription",Windows,,Get the Visio Professional 2019 at Microsoft Store and compare products with the latest customer reviews and ratings. Download or ship for free. Free returns.
Google Drawing,https://docs.google.com/drawings/,Diagramming,Free,Web,,Choose from a wide variety of shapes to create diagrams and charts. Free from Google.
diagrams.net,https://www.diagrams.net/,Diagramming,Free,Web,,"diagrams.net is an open source technology stack for building diagramming applications, and the world’s most widely used browser-based end-user diagramming software."
Balsamiq Wireframe,https://balsamiq.com/wireframes/,Diagramming,Paid,"Windows, Mac",,Balsamiq Wireframes is the industry standard quick and easy low-fidelity UI wireframing tool. It makes work fun!
Lucidchart,https://www.lucidchart.com/pages/tour,Diagramming,"Paid, Subscription",Web,,"Use the Lucidchart Learning Center to navigate to any type of diagram, access diagramming tutorial guides, or learn about specific features and integrations that can enhanceprocesses within your role."
StarUML,http://staruml.io/,Diagramming,Paid,Windows,UML,A sophisticated software modeler for agile and concise modeling
Enterprise Architect,https://sparxsystems.com/products/ea/,Diagramming,"Trial, Paid",Windows,UML,"Enterprise Architect is Sparx Systems flagship product that provides Full Lifecycle Modeling for Business, Software and Systems."
GenMyModel,https://www.genmymodel.com/,Diagramming,"Free, Subscription",Web,UML,Software Modeling in the Cloud
Violet UML Editor,http://alexdp.free.fr/violetumleditor/page.php,Diagramming,Free,"Windows, Mac, Linux",UML,"Violet is a free UML editor with these benefits : very easy to learn and use, draws nice-looking diagrams, cross-platform. Violet is intended for developers, students, teachers,and authors who need to produce simple UML diagrams quickly"
Astah,http://astah.net/,Diagramming,"Free, Trial, Subscription",Web,UML,Astah is a leading developer of diagramming and modeling software for individuals and teams. Explore Astah's software offerings for your workflow today!
Software Ideas Modeler,https://www.softwareideas.net/,Diagramming,Free,"Windows, Mac, Linux",UML,"Powerful diagram CASE tool for software design, documentation and business processes using UML, BPMN, SysML, ArchiMate & other diagrams."
Dia Diagram Editor,http://dia-installer.de/,Diagramming,Free,"Windows, Mac, Linux",UML,Dia is free (open source) drawing software. Sketch your favorite structured diagrams! Windows version available as a free download.
yED Graph Editor,https://www.yworks.com/products/yed,Diagramming,Free,"Windows, Mac, Linux, Web",UML,"High-quality software components for graph analysis, automatic graph layout, and visualization."
