Name,Link,Categories,Pricing,Platforms,Tags,Description
Unity,https://unity.com/,Game Engine,"Free, Subscription","Windows, Mac, Linux","2D, 3D, C#, Visual Scripting","Unity is the ultimate game development platform. Use Unity to build high-quality 3D and 2D games, deploy them across mobile, desktop, VR/AR, consoles or the Web, and connect with loyal and enthusiastic players and customers."
Unreal Engine,https://www.unrealengine.com/,Game Engine,"Free, Royalty","Windows, Mac, Linux","2D, 3D, C++, Visual Scripting",Unreal Engine is the world's most open and advanced real-time 3D creation platform for photoreal visuals and immersive experiences.
Godot,https://godotengine.org/,Game Engine,Free,"Windows, Mac, Linux","2D, 3D, C#, Custom Scripting, Visual Scripting","Godot provides a huge set of common tools, so you can just focus on making your game without reinventing the wheel. Free and open-source game engine under the MIT license."
GDevelop,https://gdevelop-app.com/,Game Engine,Free,"Windows, Mac, Linux, Web","2D, JavaScript, Event Scripting","GDevelop is an open-source, cross-platform game engine designed for everyone - it's extensible, fast and easy to learn."
Game Maker Studio 2,https://www.yoyogames.com/gamemaker,Game Engine,"Trial, Paid, Subscription","Windows, Mac","2D, Custom Scripting, Block Scripting","YoYo Games is the home of GameMaker. The easy to use powerful game engine that is the best for 2D games. Making games is for everyone. Uses GML Scripting, similar to JavaScript."
Game Maker Studio,https://store.yoyogames.com/downloads/gm-studio/release-notes-studio.html,Game Engine,Free,"Windows, Mac","2D, Custom Scripting","Version 1 of GameMaker Studio. Available for free. Games made in GameMaker Studio can be ported to GameMaker Studio 2. Uses GML Scripting, similar to JavaScript."
Cocos Creator,https://www.cocos.com/en/creator,Game Engine,Free,"Windows, Mac","2D, 3D, C++, JavaScript","Cocos Creator is a script development, entity-component and data-driven game development tool focused on content creation. It comes with an easy-to-follow content production workflow and a powerful suite of developer tools for game logic and high-performance game creation."
Cocos 2d-x,https://www.cocos.com/en/cocos2dx,Game Engine,Free,"Windows, Mac","2D, C++, Lua","Cocos2d-x provides rich functions such as graphics rendering, GUI, audio, network, physics, user input, etc., and is widely used in game development and interactive application construction. "
Defold,https://www.defold.com/,Game Engine,Free,"Windows, Mac, Linux","2D, Lua","Defold is a free and open game engine used for development of console, desktop, mobile and web games."
Stencyl,http://www.stencyl.com/,Game Engine,"Free, Subscription","Windows, Mac, Linux","2D, Block Scripting",Create amazing games without code. Stencyl is the quickest & easiest way to make a game.
Phaser,http://phaser.io/,Game Engine,Free,"Windows, Mac, Linux","2D, JavaScript","Desktop and Mobile HTML5 game framework. A fast, free and fun open source framework for Canvas and WebGL powered browser games."
MonoGame,http://www.monogame.net/,Framework,Free,"Windows, Mac, Linux","2D, 3D, C#",MonoGame is an Open Source implementation of the Microsoft XNA 4 Framework.
FNA,https://fna-xna.github.io/,Framework,Free,"Windows, Mac, Linux","2D, 3D, C#",FNA is a reimplementation of the Microsoft XNA Game Studio 4.0 Refresh libraries.
Heaps.io,https://heaps.io/,Framework,Free,Windows,"2D, Haxe",Heaps.io is a mature cross platform graphics engine designed for high performance games.It is designed to leverage modern GPUs that are commonly available on both desktop and mobile devices.
LOVE,https://love2d.org/,Framework,Free,"Windows, Mac","2D, Lua","LÖVE is an *awesome* framework you can use to make 2D games in Lua. It's free, open-source, and works on Windows, Mac OS X, Linux, Android and iOS."
HaxeFlixel,https://haxeflixel.com/,Framework,Free,"Windows, Mac, Linux, iOS, Android, Web","2D, Haxe","HaxeFlixel is a framework that lets you create cross-platform games easier with free, open source technology!"
