Name,Link,Categories,Pricing,Platforms,Tags,Description
PcPartPicker,https://pcpartpicker.com/,Desktop,Free,Web,Utility,Pick parts. Build your PC. Compare and share.
CyberPowerPC,https://www.cyberpowerpc.com/,"Desktop, Laptop",Paid,Web,,CyberPowerPC is a trusted custom gaming computer manufacturer. Our gaming systems include desktop pc and laptops designed professionally with high performance.
iBUYPOWER,https://www.ibuypower.com/,"Desktop, Laptop",Paid,Web,,"Build your dream gaming PC with iBUYPOWER. High performance computers at a low price. Click to customize by processor, graphics card, and more!"
NZXTBLD,https://www.letsbld.com/,Desktop,Paid,Web,,Custom and Prebuilt gaming PCs by NZXT.
Microcenter PC Builder,https://www.microcenter.com/site/content/custom-pc-builder.aspx,Desktop,Paid,Web,Parts Seller,Create your dream PC with our Custom PC Builder tool and get everything you need to complete the PC build at your local Micro Center.
Newegg PC Builder,https://www.newegg.com/tools/custom-pc-builder/?cm_sp=head_nav-_-PC_Builder,Desktop,Paid,Web,Parts Seller,"Newegg's custom PC builder makes it easy for you to compare components, find compatible parts, save your builds, and share your builds with friends."
Microsoft,https://www.microsoft.com/,"Laptop, Console",Paid,Web,,At Microsoft our mission and values are to help people and businesses throughout the world realize their full potential.
Apple,https://www.apple.com/,"Desktop, Laptop, Mobile",Paid,Web,,"Discover the innovative world of Apple and shop everything iPhone, iPad, Apple Watch, Mac, and Apple TV, plus explore accessories, entertainment, and expert device support."
Samsung,https://www.samsung.com/,"Mobile, VR",Paid,Web,,Discover the latest in electronic & smart appliance technology with Samsung. Find the next big thing from smartphones & tablets to laptops & tvs & more.
MSI,https://msi.com/,"Desktop, Laptop",Paid,Web,,"MSI designs and creates Mainboard, AIO, Graphics card, Notebook, Netbook, Tablet PC, Consumer electronics, Communication, Barebone, Server, industrial computing, Multimedia, Clean Machine and Car Infotainment."
Asus,https://www.asus.com/,"Desktop, Laptop, Mobile",Paid,Web,,"ASUS is a leading company driven by innovation and commitment to quality for products that include notebooks, netbooks, motherboards, graphics cards, displays, desktop PCs, servers, wireless solutions, mobile phones and networking devices. ASUS ranks among BusinessWeek’s InfoTech 100 for 12 consecutive years."
Gigabyte,https://www.gigabyte.com/,"Desktop, Laptop",Paid,Web,,"From personal computer hardware to business server solutions, renowned for quality and innovation, GIGABYTE is the very choice for PC users and business partners."
Razer,https://www.razer.com/,Laptop,Paid,Web,,"Razer is the world leader in high-performance gaming hardware, software and systems. We live by our motto: For Gamers. By Gamers."
Corsair,https://www.corsair.com/,Desktop,Paid,Web,,Corsair is a leader in gaming gear ranging from cases to peripherals and components to streaming equipment. Visit now to shop or learn more.
HP,https://www8.hp.com/,"Desktop, Laptop, VR",Paid,Web,,"Learn about HP laptops, pc desktops, printers, accessories and more at the Official HP® Website"
Dell,https://www.dell.com/,"Desktop, Laptop",Paid,Web,,"Shop the latest Dell computers & technology solutions. Laptops, desktops, gaming pcs, monitors, workstations & servers. FREE & FAST DELIVERY"
Lenovo,https://www.lenovo.com/,"Desktop, Laptop",Paid,Web,,"Find & buy the right laptop, tablet, desktop or best server. ✔️Build your own PC today or call our sales team ☎ 1-855-2-LENOVO (1-855-253-6686)"
Acer,https://www.acer.com/ac/en/US/content/home,"Desktop, Laptop",Paid,Web,,"Acer’s product range includes laptop and desktop PCs, tablets, smartphones, monitors, projectors and cloud solutions for home users, business, government and education."
Zotac,https://www.zotac.com/us/,Desktop,Paid,Web,,"ZOTAC - The original creators, pioneers, and manufacturer of Mini PCs and innovators of the fastest NVIDIA GeForce GTX Gaming Graphics Cards"
Oculus,https://www.oculus.com/,VR,Paid,Web,,"Defy reality with Oculus. Our VR headsets redefine digital gaming & entertainment. Learn more about Quest 2, our most advanced all-in-one VR system yet."
HTC Vive,https://www.vive.com/,VR,Paid,Web,,"VIVE is a first-of-its-kind virtual reality system. Let yourself be visually, physically and emotionally amazed by new virtual worlds."
Valve Index,https://store.steampowered.com/valveindex,VR,Paid,Web,,Hello Worlds. Experience high fidelity virtual reality with the Valve Index VR Kit.
Playstation VR,https://www.playstation.com/en-us/ps-vr/,VR,Paid,Web,,"Pico makes VR headsets for everybody. Our all-in-one VR products are easy for people to just pick up and play. No wires, no phones, no hassle. Users first!"
Magic Leap,https://www.magicleap.com/,AR,Paid,Web,,Step aside VR and smartphone AR. Magic Leap 1 is a wearable spatial computer that brings the physical and digital worlds together as one.
Leap Motion,https://developer.leapmotion.com/,AR,Paid,Web,,"Real interaction, in real time. Your hands are intricate and nuanced. Our software is too. World-leading hand tracking that captures all the subtlety and complexity of natural hand movements."
