Name,Link,Categories,Pricing,Platforms,Tags,Description
Global Game Jam,https://globalgamejam.org/,Jam,Free,Web,,"The Global Game Jam® (GGJ) is the world's largest game creation event taking place around the globe, typically at physical locations."
Ludum Dare,https://ldjam.com/,Jam,Free,Web,,Ludum Dare is an online event where games are made from scratch in a weekend. Occurs three times a year
Game Maker's Toolkit Jam,https://gmtk.itch.io/,Jam,Free,Web,,The most popular annual game jam hosted on itch.io
Itch.io Game Jams,https://itch.io/jams,Hosting,Free,Web,,itch.io is a place for hosting and participating in game jams online. Anyone can instantly create and host a jam.
Game Jolt Jams,https://jams.gamejolt.com/,Hosting,Free,Web,,So easy to use that you might have just started a jam without realizing it.
Epic Jams,https://forums.unrealengine.com/unreal-engine/events?filter_prefix=ue_events_gamejam,Jam,Free,Web,,"Trade Shows, Livestreams, Dev Tours, Workshops, and Other Official Unreal Engine Events."
Game Maker Community Jam,https://forum.yoyogames.com/index.php?forums/gmc-jam.9/,Jam,Free,Web,,The home of the GameMaker Community's very own regularly occurring Game Jam! Find out more here.
Indie Game Jams,http://www.indiegamejams.com/,Aggregator,Free,Web,,The most complete game jam calendar on the web.
Train Jam,http://trainjam.com/,Jam,Paid,Web,,"Game Jam that takes place on a train ride from Chicago to San Francisco, arriving for the start of the Game Developers Conference"
GameDev.net Challenges,https://www.gamedev.net/challenges/,Jam,Free,Web,,"GameDev.net is your resource for game development with forums, tutorials, blogs, projects, portfolios, news, and more."
