Name,Link,Categories,Pricing,Platforms,Tags,Description
Game Maker's Toolkit,https://www.youtube.com/user/McBacon1337,YouTube,Free,Web,,"Game Maker's Toolkit is a deep dive into game design, level design, and game production, hosted by Mark Brown. Feel free to email me on the business enquire."
Extra Credits,https://www.youtube.com/user/ExtraCreditz,YouTube,Free,Web,,"Welcome! We're an educational YouTube channel made up of entertainment enthusiasts with backgrounds in game design, television production, literature, and academia."
3-Minute Game Design Playlist,https://www.youtube.com/watch?v=vw76jqF1nkI&list=PLFFUZ_uHAWMU44iAlkVoXKnsOefNYdsaK,YouTube,Free,Web,,"Keith Burgun's video series ""3 Minute Game Design""."
Brackeys Game Dev Tutorials,https://www.youtube.com/channel/UCYbK_tjZ2OrIZFBvU6CCMiA,YouTube,Free,Web,"",Learn how to make video games! Top-quality game development tutorials on everything from Unity and programming to game design. If you want to become a developer this channel will help guide you through it!
"Mathew Wadstein Tutorials
",https://www.youtube.com/c/MathewWadsteinTutorials/,YouTube,Free,Web,"",This channel is dedicated to exploring Unreal Engine 4 and the Blueprint programming language that it uses.  You can think of it as a companion to the API documentation as I try to cover the how and why for what things are used for when using the Blueprint system.
Cagey Videos,https://www.youtube.com/channel/UCHVNsaUszPcZhlJdXnhkYZA,YouTube,Free,Web,,"Welcome to Cagey Videos. Here, we analyse video games from design, story and gameplay perspectives."
"ClassicGameJunkie ",https://www.youtube.com/channel/UCEas6ztXcwEkbaClw4zof9g,YouTube,Free,Web,,"Hey, Rob the ClassicGameJunkie here, on this channel you'll find the series ""How Did They Do That"" along with other random game related videos!"
DigiDigger,https://www.youtube.com/channel/UCCa794oAhys-HzkqdfmnjdQ,YouTube,Free,Web,,"Hi! Welcome to DigiDigger, I am Digit and I am passionate to share with you the mechanics and inner workings of games as well as the analysis and discussion."
ESVLB Gaming,https://www.youtube.com/channel/UCsvOBhOttpnEF9HTtDUOwxw,YouTube,Free,Web,,"Hello and welcome to ESVLB Gaming. We're Stefan and Joe, and we love games and want to just share that love with the world. We've been playing games together..."
Games As Literature,https://www.youtube.com/channel/UCvaUR_-uJQcu1-c4UfUtEmQ,YouTube,Free,Web,,"The home of Games as Lit. 101, a webseries that aims to explore interactive storytelling with analyses and educational videos for gamers and non-gamers alike."
