Name,Link,Categories,Pricing,Platforms,Tags,Description
Unity Ads,https://unity.com/solutions/unity-ads/,Ads,"Free, Paid","Windows, Mac, Linux",,"Integrate Unity Ads into mobile games to increase player engagement and maximize revenue. Ad formats include rewarded video, banners, interstitials, rich media, playables & AR. Free to start Monetizing. Pay for Ad campaigns. SDKs available for Android, iOS, and Unity."
ironSource,https://www.ironsrc.com/,Ads,"Free, Paid","Windows, Mac, Linux",,"A set of SDKs that enables you to monetize your mobile apps with ads on the following platforms: Android, iOS, Unity. Free to start Monetizing. Pay for Ad campaigns."
Google AdMob,https://developers.google.com/admob/,Ads,"Free, Paid","Windows, Mac, Linux",,"Free to start Monetizing. Pay for Ad campaigns. SDKs available for Android, iOS, Unity, and Cocos"
Apple Search Ads,https://searchads.apple.com/,Ads,Paid,Web,,Learn how Apple Search Ads helps people discover your app on the App Store. It's the efficient and easy way to be seen at the top of App Store search.
Google App Campaigns,https://support.google.com/google-ads/answer/6247380,Ads,Paid,Web,,Promote your app in the search results for Google's platforms
ChartBoost,https://www.chartboost.com/,Ads,,,,Grow your mobile business with the leading in-app monetization and programmatic advertising platform. Mobile success starts here.
Appodeal,https://www.appodeal.com/home/,Ads,,,,Grow your mobile business with the leading in-app monetization and programmatic advertising platform. Mobile success starts here.
Leadbolt,https://www.leadbolt.com/,Ads,,,,"The top Growth Engine for mobile app Indie Developers & Publishers. Accelerator, Monetization, User Acquisition, Analytics, App Intelligence..."
StartApp,https://www.startapp.com/,Ads,,,,Leadbolt is a High Performance Mobile advertising platform for User Acquisition and In-app monetization.
AddApptr,http://www.addapptr.com/,Ads,,,,StartApp is an insight driven mobile tech company that enables its partners to deliver the world's most fulfilling mobile experiences for their users.
AdColony,https://www.adcolony.com/,Ads,,,,"Our mission is to generate maximum advertising revenues for our app publishers and developers, while offering premium service and tech support."
Greedy Game,https://greedygame.com/,Ads,,,Optimization,"AdColony gives advertisers better results and provides cutting-edge monetization tools for developers with video, banner, rich media and more. Assists in building monetization strategy, mediating ads from AdMob, and provide optimally designed native ads."
Game of Whales,http://www.gameofwhales.com/,Ads,,,,"Game of Whales’ powerful AI tests and analyzes user interactions in real-time, interacts with every user based on their specific habits, and incentivizes users, automatically."
AdTiming,http://www.adtiming.com/en/,Ads,,,,AdTiming is a mobile marketing platform empowers developers and advertisers to maximize ad revenue and improve ROI.
Skillz,https://www.skillz.com/,Ads,,,,"Only 2% of game developers reach break-through success, and the Skillz platform enables the other 98% to create long-term sustainable businesses.
Across all major genres, Skillz empowers anyone to embrace their inner champion."
Do Global,http://www.do.global/en/,Ads,,,,DU Ad Platform is a global mobile advertising platform based on the world's top mobile app matrix. We provide developers and advertisers worldwide with a unique turnkey monetization solution.
Fyber,https://www.fyber.com/,Ads,,,,"Fyber is a global technology company, developing a next generation monetization platform for mobile publishers. This includes providing the world�s first and only mechanism to achieve a true state of header bidding for the mobile app environment."
NativeX,http://www.nativex.com/,Ads,,,,Nativex is an app marketing agency dedicated to driving ROI for all sectors of business in a mobile-first world. Contact us today to get started!
xsolla,https://xsolla.com/,Monetization Services,Royalty,"Windows, Mac, Linux, Web",,"Launch, monetize, and scale with Xsolla tools and services. SDKs available for Unity and Unreal Engine."
Terminal 3,https://www.terminal3.com/,Monetization Services,,,,"Sell your game, in-game items, virtual currency, game and expansion packs. We help you do this flexibly with Terminal3 Payments, Terminal3 E-Commerce Shop Builder, and Global Marketplaces!"
IronSource,https://www.ironsrc.com/,Monetization Services,,,,"ironSource builds technologies that help game developers take their games to the next level, including the industry’s largest in-app video ad network, a robust mobile ad mediation platform, and a data-driven user acquisition platform."
Mintegral,https://www.mintegral.com/en/,Monetization Services,,,,"Mintegral help advertisers and mobile publishers worldwide to bridge the gap between East and West and simplify the challenges of cross-regional mobile marketing, driving truly global growth to their business."
Pay.Super!,https://pay.super.com/,Monetization Services,Royalty,,,Pay.Super is all-in-one toolkit for game developers and publishers with up to 4% fees and over 1000 payment methods. Solution for in-App purchases and selling your game from a website.
