Name,Link,Categories,Pricing,Platforms,Tags,Description
PureRef,https://www.pureref.com/,Reference Images Viewer,Free,"Windows, Mac, Linux",,"Whether you're gathering inspiration, making mood boards or need reference images for your painting or 3D model, PureRef is there so you can focus on creating."
Kuadro,http://kruelgames.com/tools/kuadro/,Reference Images Viewer,Free,"Windows, Mac",,"Kuadro is an image viewer that allows you to open as many windows as you want, lay them out as you need them and store those layouts for later. It was designed to stay out of your way, and work around you."
Marmoset viewer,https://marmoset.co/viewer/,3D Art Viewer,Free,"Windows, Mac",,Viewer delivers WebGL-powered 3D rendering to the web and now supports animation! Export directly from Toolbag to showcase your artwork in interactive 3D!
Colour Lover Seamless,http://www.colourlovers.com/seamless,Pattern Maker,Free,Web,,"Seamless Lite makes it easy to design a seamless pattern. With simple editing tools you can resize, rotate and add shapes, lines and text to the canvas and it tiles automatically. Save your pattern template and see how the world colors it in."
Pattern Cooler,https://www.patterncooler.com/,Pattern Maker,"Free, Subscription",Web,,"10,000s Cool Editable Seamless Patterns for Backgrounds and Wallpapers"
Texture Exporter,http://www.unorthodoxentertainment.com/texture-exporter/,Texture Exporter,"Trial, Paid","Windows, Mac",Photoshop Plugin,"Texture Exporter is an intuitive Photoshop plug-in that provides an easy to use, customizable, and extremely fast way to manage and export your texture maps."
Colour Lover Photocopa,https://www.colourlovers.com/photocopa,Palette Creator,Free,Web,,PHOTOCOPA is the best way to make a photo inspired color palette. Load up your own photo from anywhere on the web and add it to the gallery for others to use as inspiration or keep it private for only your use. You can also search for great photos on Flickr.
Colour Lover Copasco,https://www.colourlovers.com/copaso/ColorPaletteSoftware,Palette Creator,Free,Web,,COPASO is an advanced color palette tool that helps you create the perfect color palette.
paletton,http://paletton.com/,Palette Creator,Free,Web,,"In love with colors, since 2002. A designer tool for creating color combinations that work together well. Formerly known as Color Scheme Designer. Use the color wheel to create great color palettes."
Google Art & Culture Art Palette,https://artsexperiments.withgoogle.com/artpalette/,Palette Creator,Free,Web,,Find artworks that match your chosen color palette.
Coolors,https://coolors.co/,Palette Creator,Free,"Windows, Mac, Web, iOS","Photoshop Plugin, Illustrator Plugin",Generate or browse beautiful color combinations for your designs.
Color Supply,https://colorsupplyyy.com/,Palette Creator,Free,Web,,"Find the colors your like, then grab the hex code. It's easy."
Cohesive Color,https://javier.xyz/cohesive-colors/,Palette Creator,Free,Web,,Create more cohesive color palettes.
Adobe Color CC,https://color.adobe.com/create/color-wheel/,Palette Creator,Free,Web,,"Create color palettes with the color wheel or image, browse thousands of color combinations from the Adobe Color community."
Color Lisa,http://www.colorlisa.com/,Color,Free,Web,,"Color Lisa is a curated list of color palettes based on masterpieces of the worlds greatest artists. Each palette was painstakingly created by color obsessed designers, artists, museum curators, and masters of color theory."
Colorable,http://jxnblk.com/colorable/,Color,Free,Web,,Color Contrast Tester
Color Cop,http://colorcop.net/,Color,Free,Windows,,Color Sample
Picular,https://picular.co/,Color,Free,Web,,"Picular is a rocket fast primary color generator using Google�s image search. If you ever needed the perfect yellow hex code from a banana, this is the tool for you."
Color Oracle,http://colororacle.org/,Color,Free,Web,Accessibility,Color Blindness Checker
