Name,Link,Categories,Pricing,Platforms,Tags,Description
Google Drive,https://www.google.com/drive/,"Office Software, Collaboration, Cloud Storage","Free, Subscription","iOS, Android, Web",,"Safely store and share your photos, videos, files and more in the cloud. Your first 15 GB of storage are free with a Google account."
Microsoft 365,https://www.microsoft.com/en-us/microsoft-365,"Office Software, Collaboration, Cloud Storage","Paid, Subscription","Windows, Mac, Android",,"Microsoft 365 has all the familiar Office apps and more in one place. Work, learn, collaborate, connect, and create with Microsoft 365."
Confluence,https://www.atlassian.com/software/confluence,Collaboration,"Free, Trial, Subscription",Web,,"Confluence is a team workspace where knowledge and collaboration meet. Trusted for documentation, decisions, project collaboration &amp; Jira integrations. "
Dropbox,https://www.dropbox.com/,"Collaboration, Cloud Storage","Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,"Share, sync, and collaborate on files securely with Dropbox Business, a file sharing and cloud storage solution that employees love and IT admins trust."
Mega,https://mega.nz/,Cloud Storage,"Free, Subscription","Windows, Mac, Linux, iOS, Android, Web",,MEGA provides free cloud storage with convenient and powerful always-on privacy. Claim your free 50GB now
Libre Office,https://www.libreoffice.org/,Office Software,Free,"Windows, Mac, Linux",,"Free office suite – the evolution of OpenOffice. Compatible with Microsoft .doc, .docx, .xls, .xlsx, .ppt, .pptx. Updated regularly, community powered."
WPS Office,https://www.wps.com/office,Office Software,Free,"Windows, Linux, iOS, Android",,"Your dream solution for a low-budget, no-commitment, free productivity office suite. The smallest size office suite consisting of Writer, Presentation, and Spreadsheets."
Free Office,https://www.freeoffice.com/en/,Office Software,Free,"Windows, Mac, Linux",,"Download FreeOffice 2018, the full-featured free Office suite for Windows, Mac and Linux"
Open Office,https://www.openoffice.org/,Office Software,Free,"Windows, Mac, Linux",,"The official home page of the Apache OpenOffice open source project, home of OpenOffice Writer, Calc, Impress, Draw and Base."
Polaris Office,https://www.polarisoffice.com/en/office,Office Software,"Free, Subscription","Windows, Mac, iOS, Android",,"Polaris Office is the most compatible all-in-one office suite that lets you create and edit documents for free. Supports all documents formats for home, business, and organization usage."
