Name,Link,Categories,Pricing,Platforms,Tags,Description
Steam Direct,https://partner.steamgames.com/steamdirect,PC,Paid,"Windows, Mac, Linux",Self-Publishing,Can register as an individual or as a company
Epic Games Store,https://www.epicgames.com/store/en-US/about,PC,Free,"Windows, Mac, Android",Self-Publishing,Can register as an individual or as a company
GOG,https://www.gog.com/indie,PC,Free,"Windows, Mac",Self-Publishing,Can register as an individual or as a company
ID@XBOX Program,https://www.xbox.com/en-US/developers/id,"PC, Console, Mobile",Free,"Windows, Xbox, iOS, Android",Self-Publishing,The ID@Xbox program enables qualified game developers of all sizes to unleash their creativity by self-publishing digital games on Xbox One. Requires proof of legally registered business.
Playstation Partner,https://partners.playstation.net/,Console,Free,PlayStation,Self-Publishing,Everything you need to make and sell games on PlayStation. Sign up today for access to industry-leading tools and support. Requires proof of legally registered business.
Nintendo Developer,https://developer.nintendo.com/,Console,Free,Nintendo,Self-Publishing,Can register as an individual or as a company
Apple Developer Program,https://developer.apple.com/programs/how-it-works/,"PC, Mobile",Subscription,"Mac, iOS",Self-Publishing,Can register as an individual or as a company
Apple Arcade,https://developer.apple.com/apple-arcade/,Mobile,Subscription,iOS,Self-Publishing,Apple Arcade is the first game subscription service of its kind. Coming to the App Store this fall. Can register as an individual or as a company.
Google Play Developer,https://support.google.com/googleplay/android-developer/answer/6112435,Mobile,Paid,Android,Self-Publishing,Register for a Google Play Developer account to publish Android apps on Google Play. Can register as an individual or as a company
Stadia,https://stadia.dev/apply/,Cloud,Free,Web,Self-Publishing,"Apply now to become a developer for Stadia, Google's powerful cloud-native platform for building a new generation of games. Requires proof of legally registered business"
Galaxy Store Games,https://developer.samsung.com/galaxy-games,Mobile,Free,Android,Self-Publishing,Samsung's Galaxy Store is the marketplace for your games with hundreds of millions of downloads from the millions of Samsung Galaxy device users and gamers. Can register as an individual or as a company.
Amazon Appstore,https://developer.amazon.com/apps-and-games/app-submission,Mobile,Free,"Android, Web",Self-Publishing,Can register as an individual or as a company
505 Games,https://505games.com/about,"PC, Console, Mobile",,,Italy,"The company publishes and distributes retail and digital premium and free-to-play games on leading consoles for Sony, Microsoft, Nintendo, PC (Steam, Epic and GoG) and handheld platforms including mobile devices and social networks."
Akupara Games,https://www.akuparagames.com/,"PC, Console, Mobile",,,USA,"Games are our passion and we give 110% to every project we work on, whether that’s our own original titles or creating your next game. Our team chooses together which projects we want to work on – this ensures we’re fully dedicated to each project and that we feel we’re the absolute best fit to push your game to reach its highest potential."
Armor Games,https://armorgamesstudios.com/,"PC, Console, Mobile, Web",,,,"Armor Games Studios is an indie game publishing company, focused on creative games and developers with stories to tell. Contact us to pitch your game and let's make something legendary."
Big Fish,https://www.bigfishgames.com/daily/about/submit-games/,Mobile,,,USA,"At Big Fish, it’s our mission to enhance life through exceptional play. Since 2002 we’ve innovated, developed and published an extensive portfolio of popular casual games across genres."
Focus Home Interactive,https://www.focus-home.com/en-us/about-us,"PC, Console, Mobile",,,France,"Focus Home Interactive is a French publisher based in Paris, France. Known for the quality, diversity and originality of its catalogue, Focus has published and distributed original titles"
Deep Silver,http://www.deepsilver.com/us/contact/,"PC, Console, Mobile",,,UK,Deep Silver Deep Silver develops and publishes video games for all major consoles worldwide and published over 200 games on different platforms so far.
11 bit Studios,http://www.11bitstudios.com/publishing/,"PC, Console, Mobile",,,Poland,"We are open-minded – we look for different games from different genres. Yet, we prefer to have fewer titles and really focus on them, instead of releasing 20 games each year. Before you send us a pitch, take a look at some crucial points that are important to us."
Iceberg Interactive,https://www.iceberg-games.com/fordevelopers/,"PC, Console",,,Netherlands,"At Iceberg Interactive, we are always looking for talented developers and promising new games! "
Thunderful Games,https://www.thunderfulgames.com/index.php/pitch,"PC, Console",,,Sweden,"Thunderful Publishing was founded in December 2017 in Gothenburg, Sweden as a sister company to game studios Image & Form and Zoink. This new collaboration means that the companies can now act more forcefully and bring something very attractive to the market."
Rising Star Games,https://www.risingstargames.com/,"PC, Console",,,UK,Rising Star Games helps indie developers in Japan publish their games.
Humble Bundle,https://www.humblegames.com/,"PC, Console, Mobile",,,USA,"Humble Games is the new indie publisher on the block, promising to be developers biggest ally!"
