Name,Link,Categories,Pricing,Platforms,Tags,Description
Havok,https://www.havok.com/,API,Paid,"Windows, Mac","Physics, Artificial Intelligence","For more than 20 years, Havok has enabled leading game developers across all platforms to create experiences that are rich, robust, and realistic. Today, more than half of the best-selling games are using Havok technology. Physics Engine, AI SDK, Cloth Physics."
PhysX,https://developer.nvidia.com/physx-sdk,SDK,Free,"Windows, Mac, Linux, iOS, Android",Physics,"The NVIDIA PhysX SDK is a scalable multi-platform physics solution supporting a wide range of devices, from smartphones to high-end multicore CPUs and GPUs. PhysX is already integrated into some of the most popular game engines, including Unreal Engine, and Unity3D. The PhysX SDK is now open source, available under a BSD 3 license."
Bullet,https://pybullet.org/,SDK,Free,"Windows, Mac, Linux",Physics,"Bullet Real-Time Physics Simulation | Home of Bullet and PyBullet: physics simulation for games, visual effects, robotics and reinforcement learning."
Box2D,http://box2d.org/,Library,Free,"Windows, Mac, Linux",Physics,A 2D Physics Engine for Games.
Khronos Group,https://www.khronos.org/,API,Free,"Windows, Mac, Linux",Graphics,"Deploying and developing royalty-free open standards for 3D graphics, Virtual and Augmented Reality, Parallel Computing, Neural Networks, and Vision Processing. 3D Graphics (OpenGL and Vulkan)."
Microsoft DirectX Graphics,https://docs.microsoft.com/en-us/windows/win32/directx?redirectedfrom=MSDN,API,Free,Windows,"Graphics, 2D, 3D, C, C++",Provides a set of APIs that you can use to create games and includes support for high-performance 2-D and 3-D graphics.
Umbra,https://umbra3d.com/gaming/,"SDK, Plugin",License,"Windows, Mac, Linux",Engineering,"Optimization for occulsion culling, shadow mapping, ray casting, and spatial awareness"
Vivox,https://www.vivox.com/features,SDK,"Free, Subscription","Windows, Mac, Linux",Communication,The voice & text chat platform that's trusted by the world's biggest gaming brands - now available for free.
Photon Realtime,https://www.photonengine.com/en-US/Realtime,SDK,"Free, Trial, Subscription","Windows, Mac, Linux","Networking, Communication",Cross-Platform Networking Engine with multiplayer platform and services
Mirror,https://mirror-networking.com/,API,Free,"Windows, Mac, Linux",Networking,"Mirror is a high level Networking API for Unity, supporting different low level Transports. Mirror is built and tested for MMO Scale Networking by the developers of uMMORPG, uSurvival and Cubica."
Spatial OS,https://improbable.io/multiplayer-networking,SDK,"Free, Subscription","Windows, Mac, Linux",Networking,Use our managed networking stack for real-time multiplayer games: create multiplayer games that push the boundaries of what game engines can do.
GGPO,https://www.ggpo.net/,SDK,Free,"Windows, Mac, Linux",Networking,"GGPO networking SDK pioneered the use of rollback networking in peer-to-peer games.  It's designed specifically to hide network latency in fast paced, twitch style games which require very precise inputs and frame perfect execution. Designed specifically network latency in fighting games."
Audiokinetic Wwise,https://www.audiokinetic.com/products/wwise/,Sound System,"Free, Paid","Windows, Mac, Linux",Audio,Audiokinetic Wwise - revolutionizing audio authoring and sound engine development tools for game developers and interactive media.
FMOD Studio,https://www.fmod.com/studio,Sound System,"Free, Paid","Windows, Mac, Linux",Audio,"Made for games - FMOD Studio is fast, fluid and flexible software for creating adaptive music and sounds."
Miles Sound System,http://www.radgametools.com/miles.htm,Sound System,Paid,Windows,Audio,"Miles features a no-compromise toolset that integrates high-level sound authoring with 2D and 3D digital audio, featuring streaming, environmental and convolution reverb, multistage DSP filtering, and multichannel mixing, and highly-optimized audio decoders (MP3, Ogg and Bink Audio)."
Elias Studio,https://www.eliassoftware.com/,Sound System,"Free, Paid","Windows, Mac",Audio,"The Elias Studio is game composer’s tool for intuitively arranging adaptive music scores with unrivaled ease of use. You arrange your pre-recorded music files and decide how the music will transition in the game. With this tool, the composer can have complete control of the game soundtrack, and make everything ready for the game developer."
