Name,Link,Categories,Pricing,Platforms,Tags,Description
Upwork,https://www.upwork.com/,All,,,Freelancers,"Upwork connects businesses of all sizes to freelancers, independent professionals, and agencies for all their hiring needs. Scale your workforce dynamically as business needs change."
Fiverr,https://www.fiverr.com/,All,,,Freelancers,"One marketplace, millions of professional services. Browse. Buy. Done."
CGTrader,https://www.cgtrader.com/3d-modeling-jobs,Freelance,Free,Web,,Discover the largest platform to find freelance designers and artists for your next 3D Project. Post a 3D modeling job for free today.
Bunker,https://bunkervfx.com/,Marketing,,,Game Trailers,"We are a team of professionals hooked on air saturated with ideas, on tension that comes with creativity and  the excitement of rewarding the imaginary with various astounding shapes. We operate from a safe location."
M. Joshua Makes Trailers,http://mjoshua.com/,Marketing,,,Game Trailers,Need a trailer? Want a consultation? Let's talk!
Gabe Allen,https://vimeo.com/173878248,Marketing,,,Game Trailers,I work with game developers from around the world in creating high quality professional video game trailers for their games. Here are some snippets of that work!
Cap and Cut,http://capandcut.com/,Marketing,,,Game Trailers,A Greater Boston based Trailer House and Creative Design Studio of Game Industry Veterans Who are Artists at Capturing Your Vision and Brand.
Adam Marshall,http://www.hiadammarshall.com/,Marketing,,,Game Trailers,Work by Adam Marshall Creative - Motion Designer and Photographer
Imagos Films,http://imagosfilms.tumblr.com/tagged/ourwork,Marketing,,,Game Trailers,We Make Movies to Melt Your Face
Zoic Studios,https://www.zoicstudios.com/,Marketing,,,Game Trailers,"Zoic Studios is a visual effects company creating computer-generated VFX for commercials, films, television and video games."
Performante,https://performante.com/,Marketing,,,,"Design your brand's story, scale it up globally, predict the future."
Renaissance PR,https://renaissancepr.co.uk/,Marketing,,,,Count on our PR agency to provide exclusive video game PR services at competitive prices.
TriplePoint,https://www.triplepointpr.com/,Marketing,,,Public Relations Service,"The leading video games PR agency specializing in strategic counsel, press and influencer media relations, and corporate communications."
Indie Wolverine,https://indiewolverine.com/,Marketing,,,Public Relations Service,Meticulous Indie Game Marketing Company. We craft world-class marketing strategies around the needs of your video game studio.
Big Machine Games,https://www.biggamesmachine.com/,Marketing,,,Public Relations Service,"Video Games PR agency running global campaigns for PC, mobile & console targeting press and gaming influencers. B2B & Consumer."
Dead Good PR,https://deadgoodpr.com/,Marketing,,,Public Relations Service,"From triple A in-house consultancy and global media launches, to promoting the next indie darling to an influencer streaming audience, Dead Good’s straight-talking approach ditches marketing buzzwords, delivering results that have clients renewing with us year after year."
Player Two PR,http://www.playertwopr.com/,Marketing,,,Public Relations Service,"Player Two is a full-service PR and marketing agency for indie game studios and solo developers. "
Mobilefreetoplay,https://mobilefreetoplay.com/consultancy/,Marketing,,,,Hire a mobile free to play consultant to work with you on your project. All types of Game Design Consultancy available.
ICO Partners,https://icopartners.com/,"Marketing, Consulting",,,Public Relations Service,"ICO is a videogames agency offering Communications, Business Intelligence and Marketing services for companies self-publishing their games in Europe."
HeyStephenHey,https://heystephenhey.com/,"Marketing, Consulting",,,,"Freelance marketing and commercial consultant for video games. Aimed at Indie game developers, publishers and their partners, I offer a flexible service for projects or retained work. Marketing strategy, consumer profiling, asset optimisation, and helping you make your game or service stand out."
Disobey,https://www.disobey.gg/,Marketing,,,,"Disobey is a UK Games Marketing Agency specialising in gaming influencer campaigns, social media growth strategy & game launches."
Black Shell Media,https://blackshellmedia.com/services/,Marketing,,,,Indie game marketing services.
Game Drive,https://www.game-drive.nl/,Marketing,,,,Drive to success. We offer strategic and metrics driven games marketing and consultancy.
NeonHive,https://www.neonhive.co.uk/,Marketing,,,Public Relations Service,"A boutique video games marketing team offering campaign planning, social media management, Steam optimisation, influencer relations, PR & more."
Mothersh1p,https://www.mothersh1p.de/,Marketing,,,,MOTHERSHIP is one of Europe's leading full-service marketing agencies for the digital culture.
Unique,https://www.uniqueinfluence.com/,Marketing,,,,Unique Influence and Assembly are joining forces.
Hound Picked,https://www.houndpicked.com/pr-hound/,Marketing,,,Public Relations Service,PR Hound - The Indie Game PR & Kickstarter Specialists. We've worked on over 300 indie games and raised $2.6 million for indie developers. Contact us today!
GoPublx,http://www.gamepublx.com/,Marketing,,,Public Relations Service,"GamePublX provides full-service media marketing & PR agency, serving clients internationally who create and publish video games. Our team is focused, creative, and passionate about helping each and every one of our clients work towards meeting their business goals."
NovyUnlimited,https://novypr.com/,Marketing,,,Public Relations Service,"Promote your console, PC or mobile game through Novy Unlimited's PR, marketing, creative, production, and consulting solutions."
StridePR,http://www.stridepr.com/,Marketing,,,Public Relations Service,"We are Stride PR, a public relations agency specializing in the video games industry."
3BLACKDOT,http://3blackdot.com/,Marketing,,,,We turn Moments into Movements. Influencer Service.
Swrve,http://www.swrve.com/,Marketing,,,,"The world's leading brands turn to Swrve to connect with their mobile-first customers and build lasting, and valuable relationships through relevant, and contextual customer experiences."
Sherimedia,https://sheri.media/,Marketing,,,,"Our team of specialists focuses on community management, social media, and influencer marketing. We are your team, an extension of your team or an extra pair of hands when you need them most."
EtchPlay,https://etchplay.com/,Marketing,,,,"Etch Play are the digital agency for the games industry. We build meaningful connections and maximise every player interaction with your games. "
TAKEOFF,https://takeoffstudios.com/,Marketing,,,,We are a multi-disciplinary award winning design studio that creates valued content and experiences for brands and their fans.
GosuRabbit,https://www.gosurabbit.com/,Marketing,,,,"GosuRabbit helps businesses to reach new audiences with the strength of emotions provided by games. Influence marketing, esports, consulting."
PlayIgnite,https://www.playignite.co.uk/,Marketing,,,,Funding and Services to increase User Acquisition. Constant funding allows your game to go off the chartat top speed! It's win win. Discover what makes us tick.
Tilting Point,https://www.tiltingpoint.com/,Marketing,,,,Funding and Services to increase User Acquisition
Roasup,https://roasup.com/,Marketing,,,,RoasUp Inc. - Revenue Acquisition for Mobile Games. Data-driven ROI-positive user acquisition services.
Matchmade,https://matchmade.tv/,Marketing,,,,"We help you understand, access and navigate the influencer marketing industry, and succeed with influencer marketing campaigns."
Vicarious PR,https://www.vicariouspr.com/,Marketing,,,Public Relations Service,"We are proud to work with everyone from indie developers to AAA publishers and we offer services for any budget. We cover multiple regions, specializing in North America and Europe, and work with multiple platforms. Whether you are developing an MMORPG for PC, a hard-hitting FPS for console, or an immersive RPG for mobile, Vicarious PR has you covered."
BitCake Studio,https://bitcakestudio.com/,Development,,,,"BitCake Studio creates games that bring people together - usually through multiplayer, community-focused, or virtual reality experiences."
BlindFlung Studios,https://www.blindflugstudios.com/hire-us/,Development,,,,"Since our work at Feinheit we are specialised on creating games that can talk about complex, multi-layered topics. We are still available for work for hire to support our indie projects. So if you are looking for an incredible game, we are the team!"
Gameanax,https://www.gameanax.com/,Development,,,,"GameAnax Studio Provides Immersive Technology Services in Virtual Reality, Augmented Reality and Mixed reality. Game App Development Company in India & USA"
Hollywood Gaming,http://www.hollywoodgaming.com/,Development,,,,"Since 2005, we’ve been creating games, providing game technology and delivering cross platform solutions to the global coin-operating and pay-to-play markets."
DO Games,https://do-games.com/,"Porting, Consulting",,,,"We'll take your existing game to Console, Mobile and Steam - all from the same codebase.  With 20+ years in the games industry, our in-house technology and experience makes multi-platform porting a breeze.  So you can release to more platforms, more quickly and at a lower total cost."
Fire Falcom,https://firefalcom.github.io/website/,Porting,,,,Game development studio. Also does remasters.
Flux Game Studio,https://www.fluxgamestudio.com/services,Development,,,,"We are a boutique development studio that adds value to your IPs via games. Movies, books, series, comics, brands, services, lessons, concepts - anything can be transformed into a great game in our hands."
Just Funny Games,http://justfunnygames.com/en/services/,Development,,,,"With experience in mobile, gaming, and enterprise, our objective is to take our skills and know-how into any new project."
Mogi Group,https://mogi-group.com/,Development,,,,MoGi Group is an award-winning gaming services company offering the most flexible games services in the industry. We can help bring your game to the world!
Orthus Studios,https://orthrusstudios.com/,Development,,,,"Orthrus Studios, a Game Development Studio situated in Dundee, founded in 2017. Our talented and hardworking team are comitted to crafting distinctive games in a sustainable and responsible way. Read on to learn more about our business, our games, and what we have to offer our community of gamers."
PushStart,http://pushstart.com.br/#/agency,Development,,,,"We create interactive multiplatform content, such as games, apps, websites and more."
