Name,Link,Categories,Pricing,Platforms,Tags,Description
Game Maker's Toolkit,https://www.youtube.com/user/McBacon1337,YouTube,Free,Web,,"Game Maker's Toolkit is a deep dive into game design, level design, and game production, hosted by Mark Brown. Feel free to email me on the business enquire."
Extra Credits,https://www.youtube.com/user/ExtraCreditz,YouTube,Free,Web,,"Welcome! We're an educational YouTube channel made up of entertainment enthusiasts with backgrounds in game design, television production, literature, and academia."
3-Minute Game Design Playlist,https://www.youtube.com/watch?v=vw76jqF1nkI&list=PLFFUZ_uHAWMU44iAlkVoXKnsOefNYdsaK,YouTube,Free,Web,,"Keith Burgun's video series ""3 Minute Game Design""."
Brackeys Game Dev Tutorials,https://www.youtube.com/channel/UCYbK_tjZ2OrIZFBvU6CCMiA,YouTube,Free,Web,,Learn how to make video games! Top-quality game development tutorials on everything from Unity and programming to game design. If you want to become a developer this channel will help guide you through it!
"Mathew Wadstein Tutorials
",https://www.youtube.com/c/MathewWadsteinTutorials/,YouTube,Free,Web,,This channel is dedicated to exploring Unreal Engine 4 and the Blueprint programming language that it uses.  You can think of it as a companion to the API documentation as I try to cover the how and why for what things are used for when using the Blueprint system.
Cagey Videos,https://www.youtube.com/channel/UCHVNsaUszPcZhlJdXnhkYZA,YouTube,Free,Web,,"Welcome to Cagey Videos. Here, we analyse video games from design, story and gameplay perspectives."
"ClassicGameJunkie ",https://www.youtube.com/channel/UCEas6ztXcwEkbaClw4zof9g,YouTube,Free,Web,,"Hey, Rob the ClassicGameJunkie here, on this channel you'll find the series ""How Did They Do That"" along with other random game related videos!"
DigiDigger,https://www.youtube.com/channel/UCCa794oAhys-HzkqdfmnjdQ,YouTube,Free,Web,,"Hi! Welcome to DigiDigger, I am Digit and I am passionate to share with you the mechanics and inner workings of games as well as the analysis and discussion."
ESVLB Gaming,https://www.youtube.com/channel/UCsvOBhOttpnEF9HTtDUOwxw,YouTube,Free,Web,,"Hello and welcome to ESVLB Gaming. We're Stefan and Joe, and we love games and want to just share that love with the world. We've been playing games together..."
Games As Literature,https://www.youtube.com/channel/UCvaUR_-uJQcu1-c4UfUtEmQ,YouTube,Free,Web,,"The home of Games as Lit. 101, a webseries that aims to explore interactive storytelling with analyses and educational videos for gamers and non-gamers alike."
GDC,https://www.youtube.com/channel/UC0JB7TSe49lg56u6qH8y_MQ,YouTube,Free,Web,,"Welcome to the GDC YouTube channel, where you'll find clips and full length videos from GDC."
Mason Miller,https://www.youtube.com/channel/UCIr5cIzrkBIOwMCxJVJOx7Q,YouTube,Free,Web,,"All about video games, why they're awesome, and how they work."
Matthewmatosis,https://www.youtube.com/channel/UCb_sF2m3-2azOqeNEdMwQPw,YouTube,Free,Web,,"In-depth games reviews and analysis, nothing more; nothing less."
Noah Caldwell-Gervais,https://www.youtube.com/channel/UC5CYeHPLer3lbEhgonvbbAA,YouTube,Free,Web,,"In-depth gaming reviews, mostly whole-franchise retrospectives or comparative reviews. "
Sunder,https://www.youtube.com/channel/UCYwIcyCwXZ--FR0iZ593uBA,YouTube,Free,Web,,My name is Sunder and I make gaming videos ranging from detailed level-design analysis to entertaining reviews! I strive to make things that I'm passionate about.
Super Bunnyhop,https://www.youtube.com/channel/UCWqr2tH3dPshNhPjV5h1xRw,YouTube,Free,Web,,"Welcome to Super Bunnyhop, where we make pseudo-journalistic content about video games! Your host: George Weidman Updates on Thursdays (sometimes Fridays)"
Turbo Button,https://www.youtube.com/channel/UCWPTiFpzm8559H-9Err59gw,YouTube,Free,Web,,Just some guy pretending to know things about video games.
What's With Games,https://www.youtube.com/channel/UC-qto1ZFcRtvuL_PUIiC3Qg,YouTube,Free,Web,,What's With Games is a YouTube Channel in which CJ analyzes some feature of games and tells you just what's with it.
Writing on Games,https://www.youtube.com/channel/UCPlWv88ZRMxCcK3BGjrX7ew,YouTube,Free,Web,,"In-depth analysis and opinion pieces on games, their designs and their narratives."
Core-A Gaming,https://www.youtube.com/channel/UCT7njg__VOy3n-SvXemDHvg,YouTube,Free,Web,,Videos about fighting games.
Math for Game Developers,https://www.youtube.com/playlist?list=PLW3Zl3wyJwWOpdhYedlD-yCB7WQoHf-My,YouTube,Free,Web,,"Math and video games and whatever else I feel like making a video about. "
